Score,Popularity,Rank,Members,Description,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
7.86,4114,880,29,The second cour of Hoozuki no Reitetsu season 2.,Hoozuki no Reitetsu 2nd Season: Second Cour,鬼灯の冷徹 第弐期その弐,Hozuki's Coolheadedness 2: Part 2,TV,13,Finished Airing,"Apr 8, 2018 to Jul 1, 2018",Spring 2018,Sundays at 01:00 (JST),"None found, add some",Sentai Filmworks,Studio Deen,Manga,"ComedyComedy, FantasyFantasy",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older
7.86,238,881,797,"Kagome Higurashi's 15th birthday takes a sudden turn when she is forcefully pulled by a demon into the old well of her family's shrine. Brought to the past, when demons were a common sight in feudal Japan, Kagome finds herself persistently hunted by these vile creatures, all yearning for an item she unknowingly carries: the Shikon Jewel, a small sphere holding extraordinary power. 

Amid such a predicament, Kagome encounters a half-demon boy named Inuyasha who mistakes her for Kikyou, a shrine maiden he seems to resent. Because of her resemblance to Kikyou, Inuyasha takes a violent dislike to Kagome. However, after realizing the dire circumstances they are both in, he sets aside his hostility and lends her a hand. 

Unfortunately, during a fight for the Shikon Jewel, the miraculous object ends up shattered into pieces and scattered across the land. Fearing the disastrous consequences of this accident, Kagome and Inuyasha set out on a challenging quest to recover the shards before they fall into the wrong hands.

[Written by MAL Rewrite]
",Inu Yasha,犬夜叉,InuYasha,TV,167,Finished Airing,"Oct 16, 2000 to Sep 13, 2004",Fall 2000,Mondays at 19:00 (JST),"Shogakukan-Shueisha Productions, Yomiuri Telecasting",VIZ Media,Sunrise,Manga,"ActionAction, AdventureAdventure, FantasyFantasy, RomanceRomance",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
7.85,1005,882,240,"Fuutarou has led five quintuplets to the point where they can graduate and pursue their own dreams. Now, finally, they had reached their final school festival. Having decided to make this occasion one to remember, Fuutarou searches for his feelings for the five quintuplets.

(Source: ANN)","Gotoubun no Hanayome, The Five Wedded Brides, The Quintessential Quintuplets",映画 五等分の花嫁,The Quintessential Quintuplets Movie,Movie,1,Finished Airing,"May 20, 2022",,,"Pony Canyon, Kodansha, Nichion",Crunchyroll,Bibury Animation Studios,Manga,"ComedyComedy, RomanceRomance",ShounenShounen,2 hr. 16 min.,PG-13 - Teens 13 or older
7.85,365,883,596,"Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter.

One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord!

As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine.

[Written by MAL Rewrite]",,べるぜバブ,Beelzebub,TV,60,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",Winter 2011,Sundays at 07:00 (JST),"Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,Manga,"ActionAction, ComedyComedy, SupernaturalSupernatural",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
7.85,728,884,328,"It has been 50 years since mankind began its migration to the terraformed Mars, where they live in comfort due to advancements in AI. Carole lives in the metropolis of Alba City, working part-time by day and playing keyboard by night. Tuesday has run away from her home in Hershell City to escape the grip of her wealthy family, and instead hopes to pursue music with her acoustic guitar.

After a fateful encounter, the two decide to perform music together. Up against the AI singers that dominate the music world, the two of them believe that together they can convey their feelings through their songs. Will hard work and luck be enough for the duo to create the biggest miracle that Mars has ever seen?

[Written by MAL Rewrite]",,キャロル&チューズデイ,Carole & Tuesday,TV,24,Finished Airing,"Apr 11, 2019 to Oct 3, 2019",Spring 2019,Thursdays at 00:55 (JST),"Fuji TV, flying DOG, BS Fuji, Hakuhodo DY Music & Pictures, Hakuhodo DY Media Partners",Sentai Filmworks,Bones,Original,"DramaDrama, Sci-FiSci-Fi",,22 min. per ep.,PG-13 - Teens 13 or older
7.85,2193,885,91,"Ohana Matsumae has been working at Kissui Inn as a waitress for a while now. However, she realizes that she is starting to lose her desire to sparkle, having grown accustomed to the routines of her job. As this was a desire she had when she first moved to the inn, the realization bothers her. While having Yuina Wakura—Ohana's classmate, friend, and the daughter of rival Fukuya Inn's owner—under her as an apprentice, Ohana stumbles upon some old archives that mention her mother, Satsuki. Ohana does not know much about her mother, but these archives could shed some light on her past.

Besides learning more about her mother, it is business as usual at Kissui Inn—though with a couple of challenges to test Ohana and the staff of the inn.

[Written by MAL Rewrite]",Hanasaku Iroha: Home Sweet Home,劇場版 花咲くいろは HOME SWEET HOME,Hanasaku Iroha the Movie: Home Sweet Home,Movie,1,Finished Airing,"Mar 9, 2013",,,"Sotsu, Lantis, Infinite","NIS America, Inc.",P.A. Works,Original,,,1 hr. 6 min.,PG-13 - Teens 13 or older
7.85,6072,886,11,"After the death of Saizou, Kabamaru's horribly strict grandfather and Iga ninja teacher (sensei), an old lady, Ran Ookubo, claims that she received a letter from him asking her to take care of his grandson. So Kabamaru runs off with Lady Ookubo to the big city Tokyo to gorge on yakisoba, ramen, chow mein, and attend a regular school—which turns out to have weird quirks of its own. 

(Source: ANN) ","Iga no Kabamaru, Ninja Boy",伊賀野カバ丸,,TV,24,Finished Airing,"Oct 20, 1983 to Mar 29, 1984",Fall 1983,Thursdays at 19:00 (JST),TOHO,"None found, add some",Group TAC,Manga,"ActionAction, AdventureAdventure, ComedyComedy, RomanceRomance",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older
7.85,1749,887,126,"The summer holidays are coming to an end, but the girls from Houkago Tea Time want to take one more trip before their next semester starts. With countless travel destinations to choose from and as many preferences as there are club members, coming to an agreement seems far-flung.

Unable to reach a decision, they remember that they must first apply for new passports. As simple as it may sound, the routine visit to a government office and filing a form soon turns into an all-day adventure for Yui Hirasawa and the rest of the band.

[Written by MAL Rewrite]","Keion 2 Special, K-On!! 2nd Season Special, K-On!! Episode 27",けいおん!! 計画!,K-On!!: Plan!,Special,1,Finished Airing,"Mar 16, 2011",,,"Pony Canyon, Animation Do",Sentai Filmworks,Kyoto Animation,Original,,,23 min.,PG-13 - Teens 13 or older
7.85,4976,888,19,"Ryoutsu, being an underpaid policeman, is always coming up with underhanded schemes in order to make a quick buck. But in the end, his plans (which are ridiculous to begin with) always go wrong and land him in big trouble with the chief.","Kochikame, This is the Police Station in Front of Kameari Park in Katsushika Ward, Kochira Katsushikaku Kameari Kouenmae Hashutsujo (1996)",こちら葛飾区亀有公園前派出所 (1996),,TV,373,Finished Airing,"Jun 16, 1996 to Dec 19, 2004",Summer 1996,Sundays at 19:00 (JST),"Asatsu DK, Fuji TV","None found, add some",Gallop,Manga,,ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older
7.85,933,889,259,"Hiyori Iki goes on a skiing trip with her parents and happens to bump into Yato and Yukine. After a short while, they find the other gods who are there for a company vacation. But amidst all the fun, someone is plotting a heinous crime, and Yato is the primary target.

On a different day, Yato’s been able to make a small fortune from his last job and decides to take Hiyori and Yukine to Capyper Land. Although she agrees without knowing the destination, will Hiyori actually enjoy the day considering what happened on her last visit?

[Written by MAL Rewrite]
",Noragami Aragoto OAD,ノラガミ OAD,,OVA,2,Finished Airing,"Nov 17, 2015 to Mar 17, 2016",,,"None found, add some","None found, add some",Bones,Manga,"ComedyComedy, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.85,5103,890,17,"Hana now becomes a peer of the Ojamajo. When Majotourbillon's spirit revives, the witches now have to break her curse. From the help from Pao-chan, Doremi, Hana, and the other witches are able to defeat the curses. 

(Source: ANN)",Useless Witch Doremi Kaboom!,おジャ魔女どれみドッカ〜ン！,,TV,51,Finished Airing,"Feb 3, 2002 to Jan 26, 2003",Winter 2002,Unknown,Asahi Broadcasting,"None found, add some",Toei Animation,Original,"ComedyComedy, FantasyFantasy",,24 min. per ep.,G - All Ages
7.85,2171,891,93,"After suffering great personal loss during the battle of Marineford, Monkey D. Luffy finds himself stranded on Rusukaina, a treacherous island crawling with huge and dangerous creatures. There, he has committed himself to a two-year stretch of training to learn ""Haki,"" the energy that combatants can use to grant themselves a variety of abilities in battle.

Luffy is jerked away from his otherwise peaceful training by the abduction of Sandersonia and Marigold, sisters of his friend and ally Boa Hancock. With Boa's aid, Luffy seeks to track down the infamous pirate responsible for the kidnapping, a man whose recent prison break is the result of Luffy's own reckless actions. Luffy must use his developing grasp of Haki to defeat this new foe while coming to terms with his overbearing grief in the process.

[Written by MAL Rewrite]
",One Piece Special 15th Anniversary,ワンピース〝3D2Y〟 エースの死を越えて！ ルフィ仲間との誓い,One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends,TV Special,1,Finished Airing,"Aug 30, 2014",,,"None found, add some",Funimation,Toei Animation,Manga,"AdventureAdventure, FantasyFantasy",ShounenShounen,1 hr. 47 min.,PG-13 - Teens 13 or older
7.85,3143,892,49,"An adaptation of the visual-novel by Key, Planetarian: Hoshi no Hito combines the story of the original work with an expansion that extends the narrative with content from the Hoshi no Hito light-novel sequel. 

In the future after much of the world has been devastated by nuclear and biological warfare, a young scavenger or ""Junker"" exploring a quarantined and abandoned city comes across a service robot still faithfully awaiting customers in the rooftop planetarium of a department store. Against his pragmatic instincts he helps the robot repair the planetarium's projector: a decision which will change both their fates.

(Source: ANN)",,planetarian～星の人～,Planetarian: Storyteller of the Stars,Movie,1,Finished Airing,"Sep 3, 2016",,,Visual Arts,Funimation,David Production,Visual novel,"DramaDrama, Sci-FiSci-Fi",,1 hr. 56 min.,PG-13 - Teens 13 or older
